Facility_ID,Restaurant_Name,Inspection_Date,Process_Description,Geocode,Street,City,Zip_Code,Score,Med_Income,Population,Home_Ownership,Latitude,Longitude
10939299,JJA Corporation,2015-10-09,Routine Inspection,"1925 RUTLAND DR, AUSTIN, TX 78758",1925 RUTLAND DR,AUSTIN,78758,100,42398.0,42977.0,0.309,30.3788756448,-97.7130952608
10028448,Rutland Market,2015-10-08,Routine Inspection,"900 RUTLAND DR, AUSTIN, TX 78758",900 RUTLAND DR,AUSTIN,78758,90,42398.0,42977.0,0.309,30.3663044057,-97.6980948949
2800169,Thundercloud Subs,2015-10-08,Routine Inspection,"2521 RUTLAND DR, AUSTIN, TX 78758",2521 RUTLAND DR,AUSTIN,78758,96,42398.0,42977.0,0.309,30.3825725869,-97.7231001869
2801987,Subway,2015-10-07,Routine Inspection,"11005 BURNET RD, AUSTIN, TX 78758",11005 BURNET RD,AUSTIN,78758,95,42398.0,42977.0,0.309,30.3943865605,-97.7201834955
11340160,Which Wich,2015-10-07,Routine Inspection,"1701 W PARMER LN, AUSTIN, TX 78758",1701 W PARMER LN,AUSTIN,78758,86,42398.0,42977.0,0.309,30.4123168201,-97.6894713912
10365292,Westin Austin @ The Domain,2015-10-07,Routine Inspection,"11301 DOMAIN DR, AUSTIN, TX 78758",11301 DOMAIN DR,AUSTIN,78758,88,42398.0,42977.0,0.309,30.3993506215,-97.7245381917
10515702,IPIC-GOLD CLASS ENTERTAINMENT LLC,2015-10-06,Routine Inspection,"3225 AMY DONOVAN PLZ, AUSTIN, TX 78758",3225 AMY DONOVAN PLZ,AUSTIN,78758,86,42398.0,42977.0,0.309,30.3963006288,-97.7278895057
2801635,Cafe Eurest at HRW,2015-10-06,Routine Inspection,"10801 N MOPAC EXPY, AUSTIN, TX 78758",10801 N MOPAC EXPY,AUSTIN,78758,93,42398.0,42977.0,0.309,30.3967422597,-97.7305363216
11348389,McDonald's Restaurant at North Lamar,2015-10-05,Routine Inspection,"9422 N LAMAR BLVD, AUSTIN, TX 78758",9422 N LAMAR BLVD,AUSTIN,78758,93,42398.0,42977.0,0.309,30.364182252,-97.6969460435
10334246,"Taqueria Don Chuy""""",2015-10-05,Routine Inspection,"948 PAYTON GIN RD, AUSTIN, TX 78758",948 PAYTON GIN RD,AUSTIN,78758,97,42398.0,42977.0,0.309,30.359936665,-97.70396185
10305089,Child Inc.-Grant Child Development Center,2015-10-05,Routine Inspection,"1701 KRAMER LN, AUSTIN, TX 78758",1701 KRAMER LN,AUSTIN,78758,100,42398.0,42977.0,0.309,30.3852442245,-97.7040259927
2800842,Gracy Woods 2 Living Center,2015-10-05,Routine Inspection,"12042 1 2 BITTERN HOLW, AUSTIN, TX 78758",12042 1 2 BITTERN HOLW,AUSTIN,78758,97,42398.0,42977.0,0.309,30.4022912362,-97.6998688743
10273521,Central Donut,2015-10-02,Routine Inspection,"1910 W BRAKER LN, AUSTIN, TX 78758",1910 W BRAKER LN,AUSTIN,78758,89,42398.0,42977.0,0.309,30.3923075645,-97.7066994049
10167194,Freebirds World Burrito,2015-10-02,Routine Inspection,"11101 BURNET RD, AUSTIN, TX 78758",11101 BURNET RD,AUSTIN,78758,88,42398.0,42977.0,0.309,30.3954579076,-97.7194445595
10363369,Yogurt Planet,2015-10-01,Routine Inspection,"3220 FEATHERGRASS CT, AUSTIN, TX 78758",3220 FEATHERGRASS CT,AUSTIN,78758,100,42398.0,42977.0,0.309,30.3950097939,-97.7273659576
2803575,Honey Baked Hams,2015-09-30,Routine Inspection,"9029 RESEARCH BLVD, AUSTIN, TX 78758",9029 RESEARCH BLVD,AUSTIN,78758,100,42398.0,42977.0,0.309,30.3732548751,-97.7242960583
10005841,California Pizza Kitchen,2015-09-30,Routine Inspection,"3401 ESPERANZA XING, AUSTIN, TX 78758",3401 ESPERANZA XING,AUSTIN,78758,92,42398.0,42977.0,0.309,30.4003894125,-97.7271690643
11063798,Unity Gourmet Treats,2015-09-30,Routine Inspection,"8309 RESEARCH BLVD, AUSTIN, TX 78758",8309 RESEARCH BLVD,AUSTIN,78758,100,42398.0,42977.0,0.309,30.3562865778,-97.7149687651
10880915,Santorini Cafe,2015-09-29,Routine Inspection,"11800 N LAMAR BLVD, AUSTIN, TX 78758",11800 N LAMAR BLVD,AUSTIN,78758,93,42398.0,42977.0,0.309,30.3883524756,-97.684068447
10388239,Detour Domain,2015-09-28,Routine Inspection,"11101 BURNET RD, AUSTIN, TX 78758",11101 BURNET RD,AUSTIN,78758,96,42398.0,42977.0,0.309,30.3954579076,-97.7194445595
2802280,McDonald's,2015-09-28,Routine Inspection,"2608 W BRAKER LN, AUSTIN, TX 78758",2608 W BRAKER LN,AUSTIN,78758,91,42398.0,42977.0,0.309,30.3913843128,-97.7205107439
11126657,7 Eleven # 36610A,2015-09-28,Routine Inspection,"2616 W BRAKER LN, AUSTIN, TX 78758",2616 W BRAKER LN,AUSTIN,78758,80,42398.0,42977.0,0.309,30.3915919967,-97.7212159674
10009728,Starbucks Coffee #13331,2015-09-28,Routine Inspection,"11410 CENTURY OAKS TER, AUSTIN, TX 78758",11410 CENTURY OAKS TER,AUSTIN,78758,94,42398.0,42977.0,0.309,30.4016905261,-97.7267399687
2802031,Canary Roost,2015-09-28,Routine Inspection,"11900 METRIC BLVD, AUSTIN, TX 78758",11900 METRIC BLVD,AUSTIN,78758,94,42398.0,42977.0,0.309,30.4003705701,-97.704083115
2803785,EZ Stop,2015-09-28,Routine Inspection,"1200 KRAMER LN, AUSTIN, TX 78758",1200 KRAMER LN,AUSTIN,78758,93,42398.0,42977.0,0.309,30.3829059399,-97.6943594151
10789951,Jack in the Box #843,2015-09-24,Routine Inspection,"9825 BURNET RD, AUSTIN, TX 78758",9825 BURNET RD,AUSTIN,78758,86,42398.0,42977.0,0.309,30.3829441461,-97.7236540089
10662759,Tropicana Cuban Restaurant,2015-09-23,Routine Inspection,"9616 N LAMAR BLVD, AUSTIN, TX 78758",9616 N LAMAR BLVD,AUSTIN,78758,85,42398.0,42977.0,0.309,30.3668012127,-97.6956374462
2803108,Chick Fil A,2015-09-23,Routine Inspection,"12501 N MOPAC EXPY, AUSTIN, TX 78758",12501 N MOPAC EXPY,AUSTIN,78758,97,42398.0,42977.0,0.309,30.4191623953,-97.7032427955
10469294,Pepe's Fruit Cups,2015-09-23,Routine Inspection,"9616 N LAMAR BLVD, AUSTIN, TX 78758",9616 N LAMAR BLVD,AUSTIN,78758,82,42398.0,42977.0,0.309,30.3668012127,-97.6956374462
11066733,Taco Bell #030141,2015-09-21,Routine Inspection,"4811 W BRAKER LN, AUSTIN, TX 78758",4811 W BRAKER LN,AUSTIN,78758,97,42398.0,42977.0,0.309,30.4003479094,-97.7473975493
11299060,Flaming Pizza,2015-09-21,Routine Inspection,"3220 FEATHERGRASS CT, AUSTIN, TX 78758",3220 FEATHERGRASS CT,AUSTIN,78758,90,42398.0,42977.0,0.309,30.3950097939,-97.7273659576
